county,county_code,eligible_voters,total_votes,Biedron,Bosak,Duda,Holownia,Jakubiak,Kosiniak-Kamysz,Piotrowski,Tanajno,Trzaskowski,Witkowski,Zoltek
wyszkowski,143500.0,58794.0,38513.0,474.0,3062.0,22303.0,4237.0,64.0,1097.0,44.0,43.0,7096.0,23.0,70.0
zwoleński,143600.0,29088.0,17747.0,238.0,1065.0,11944.0,1489.0,29.0,642.0,20.0,12.0,2268.0,14.0,26.0
żuromiński,143700.0,30947.0,18200.0,277.0,814.0,10756.0,1912.0,31.0,864.0,15.0,14.0,3471.0,15.0,31.0
żyrardowski,143800.0,58288.0,38748.0,767.0,2477.0,18361.0,5130.0,102.0,835.0,46.0,62.0,10803.0,47.0,118.0
Ostrołęka,146100.0,39716.0,25334.0,420.0,2039.0,12330.0,3452.0,55.0,541.0,29.0,39.0,6337.0,26.0,66.0
Płock,146200.0,91792.0,60135.0,1330.0,3646.0,24639.0,7504.0,110.0,1445.0,57.0,78.0,21115.0,101.0,110.0
Radom,146300.0,158298.0,104413.0,1969.0,7899.0,49401.0,12113.0,188.0,1942.0,104.0,158.0,30263.0,162.0,214.0
Siedlce,146400.0,58736.0,39931.0,763.0,3415.0,19332.0,4676.0,88.0,1080.0,71.0,58.0,10268.0,59.0,121.0
Warszawa,146501.0,1378929.0,1023381.0,35930.0,57180.0,275418.0,138496.0,2441.0,18195.0,1154.0,1757.0,486876.0,2973.0,2961.0
Zagranica,149900.0,374372.0,311124.0,14316.0,27316.0,64904.0,48775.0,598.0,3274.0,224.0,564.0,149735.0,942.0,476.0
brzeski,160100.0,69283.0,41535.0,800.0,2704.0,19032.0,5744.0,82.0,973.0,41.0,66.0,11953.0,54.0,86.0
głubczycki,160200.0,36389.0,20575.0,319.0,1278.0,11213.0,2052.0,35.0,419.0,31.0,31.0,5135.0,19.0,43.0
kędzierzyńsko-kozielski,160300.0,71799.0,39211.0,816.0,2466.0,13876.0,7436.0,64.0,771.0,43.0,47.0,13537.0,62.0,93.0
kluczborski,160400.0,51506.0,28234.0,431.0,1810.0,12084.0,4119.0,51.0,749.0,30.0,40.0,8814.0,41.0,65.0
krapkowicki,160500.0,49729.0,25001.0,427.0,1674.0,8709.0,5612.0,34.0,586.0,32.0,27.0,7821.0,28.0,51.0
namysłowski,160600.0,33759.0,20341.0,368.0,1304.0,9498.0,2816.0,35.0,550.0,20.0,26.0,5674.0,18.0,32.0
nyski,160700.0,108902.0,62455.0,1056.0,3402.0,30791.0,8474.0,89.0,1297.0,39.0,74.0,17073.0,49.0,111.0
oleski,160800.0,51615.0,27710.0,397.0,1558.0,12449.0,5548.0,53.0,821.0,33.0,38.0,6712.0,30.0,71.0
opolski,160900.0,97962.0,51779.0,831.0,3045.0,18135.0,10271.0,70.0,1521.0,63.0,96.0,17570.0,70.0,107.0
prudnicki,161000.0,43176.0,23450.0,377.0,1468.0,11306.0,3832.0,31.0,493.0,22.0,29.0,5828.0,21.0,43.0
strzelecki,161100.0,59975.0,30300.0,487.0,1940.0,11985.0,6084.0,49.0,645.0,34.0,35.0,8937.0,33.0,71.0
Opole,166100.0,98295.0,65760.0,1730.0,4012.0,17474.0,10621.0,109.0,1321.0,52.0,113.0,30071.0,111.0,146.0
bieszczadzki,180100.0,18401.0,10407.0,213.0,787.0,5053.0,1320.0,14.0,366.0,7.0,14.0,2590.0,17.0,26.0
brzozowski,180200.0,52216.0,32138.0,301.0,2750.0,23180.0,2160.0,49.0,611.0,36.0,20.0,2956.0,16.0,59.0
dębicki,180300.0,106202.0,69110.0,746.0,6183.0,44315.0,5862.0,120.0,1757.0,92.0,51.0,9787.0,54.0,143.0
jarosławski,180400.0,95841.0,58542.0,606.0,4984.0,38489.0,4559.0,68.0,1655.0,46.0,54.0,7960.0,35.0,86.0
jasielski,180500.0,91300.0,55568.0,702.0,4652.0,36715.0,3989.0,104.0,1347.0,64.0,42.0,7813.0,46.0,94.0
kolbuszowski,180600.0,49375.0,30029.0,300.0,2893.0,20837.0,2149.0,63.0,715.0,24.0,35.0,2926.0,18.0,69.0
krośnieński,180700.0,89997.0,56828.0,897.0,5096.0,36210.0,5091.0,106.0,1331.0,53.0,49.0,7809.0,42.0,144.0
leżajski,180800.0,54771.0,34551.0,315.0,3408.0,24257.0,2371.0,62.0,639.0,54.0,28.0,3352.0,12.0,53.0
lubaczowski,180900.0,44809.0,26054.0,324.0,2022.0,16751.0,2308.0,38.0,972.0,20.0,18.0,3539.0,24.0,38.0
łańcucki,181000.0,63390.0,43103.0,432.0,4139.0,27983.0,4158.0,69.0,1103.0,57.0,47.0,5004.0,23.0,88.0
